rule,type,accuracy,severity,fixability,applicability,configuration,conflicts,total
DOC202,Preview,2,0,0,2,1,2,
DOC402,Preview,2,0,0,2,1,2,
DOC403,Preview,2,0,0,2,1,2,
DOC501,Preview,2,0,0,2,1,2,
DOC502,Preview,1,0,0,2,1,2,
D100,Stable,2,0,0,2,1,2,
D101,Stable,2,0,0,2,1,2,
D102,Stable,2,0,0,2,1,2,
D103,Stable,2,0,0,2,1,2,
D104,Stable,2,0,0,2,1,2,
D105,Stable,2,0,0,2,1,2,
D106,Stable,2,0,0,2,1,2,
D107,Stable,2,0,0,2,1,2,
D200,Stable,2,0,2,2,1,2,
D201,Stable,2,0,2,2,1,2,
D202,Stable,2,0,2,2,1,2,
D203,Stable,2,0,2,2,1,2,
D204,Stable,2,0,2,2,1,2,
D205,Stable,2,0,2,2,1,2,
D206,Stable,2,0,0,2,1,0,
D207,Stable,2,0,2,2,1,1,
D208,Stable,2,0,2,2,1,1,
D209,Stable,2,0,2,2,1,2,
D210,Stable,2,0,2,2,1,1,
D211,Stable,2,0,2,2,1,1,
D212,Stable,2,0,2,2,1,2,
D213,Stable,2,0,2,2,1,2,
D214,Stable,2,0,2,1,1,2,
D215,Stable,2,0,2,1,1,2,
D300,Stable,2,0,2,2,1,1,
D301,Stable,2,0,2,2,1,2,
D400,Stable,2,0,2,2,1,2,
D401,Stable,2,0,0,2,1,2,
D402,Stable,2,0,0,2,1,2,
D403,Stable,2,0,2,2,1,2,
D404,Stable,2,0,0,2,1,2,
D405,Stable,2,0,2,1,1,2,
D406,Stable,2,0,2,1,1,2,
D407,Stable,2,0,2,1,1,2,
D408,Stable,2,0,2,1,1,2,
D409,Stable,2,0,2,1,1,2,
D410,Stable,2,0,2,1,1,2,
D411,Stable,2,0,2,1,1,2,
D412,Stable,2,0,2,1,1,2,
D413,Stable,2,0,2,1,1,2,
D414,Stable,2,0,0,1,1,2,
D415,Stable,2,0,2,2,1,2,
D416,Stable,2,0,2,1,1,2,
D417,Stable,2,0,0,1,1,2,
D418,Stable,2,0,0,2,1,2,
D419,Stable,2,0,0,2,1,2,
F401,Stable,2,2,2,2,1,2,
F402,Stable,2,2,0,2,2,2,
F403,Stable,2,2,0,2,2,2,
F404,Stable,2,2,0,2,2,2,
F405,Stable,2,2,0,2,2,2,
F406,Stable,2,2,0,2,2,2,
F407,Stable,2,2,0,2,2,2,
F501,Stable,2,2,0,2,2,2,
F502,Stable,2,2,0,2,2,2,
F503,Stable,2,2,0,2,2,2,
F504,Stable,2,2,2,2,2,2,
F505,Stable,2,2,0,2,2,2,
F506,Stable,2,2,0,2,2,2,
F507,Stable,2,2,0,2,2,2,
F508,Stable,2,2,0,2,2,2,
F509,Stable,2,2,0,2,2,2,
F521,Stable,2,2,0,2,2,2,
F522,Stable,2,2,2,2,2,2,
F523,Stable,2,2,2,2,2,2,
F524,Stable,2,2,0,2,2,2,
F525,Stable,2,2,0,2,2,2,
F541,Stable,2,1,2,2,2,2,
F601,Stable,2,2,2,2,2,2,
F602,Stable,2,2,2,2,2,2,
F621,Stable,2,2,0,2,2,2,
F622,Stable,2,2,0,2,2,2,
F631,Stable,2,2,0,2,2,2,
F632,Stable,2,2,2,2,2,2,
F633,Stable,2,2,0,2,2,2,
F634,Stable,2,2,0,2,2,2,
F701,Stable,2,2,0,2,2,2,
F702,Stable,2,2,0,2,2,2,
F704,Stable,2,2,0,2,2,2,
F706,Stable,2,2,0,2,2,2,
F707,Stable,2,2,0,2,2,2,
F722,Stable,2,1,0,2,2,2,
F811,Stable,2,2,2,2,1,2,
F821,Stable,2,2,0,2,1,2,
F822,Stable,2,2,0,2,2,2,
F823,Stable,2,2,0,2,2,2,
F841,Stable,2,2,2,2,1,2,
F842,Stable,2,2,0,2,1,2,
